s1_id,target_id,country,category,s1_name,target_name,s1_addr,target_addr
S1-16089602,S2-17646356,India,address_only_linkage,Swastik Care Pvt Ltd,స్వస్తిక్ కేర్ ప్రైవేట్ లిమిటెడ్,"Telangana, 4-89/1/16/M, Kodad, Bhavani Nagar, Nalgonda","NO 403 4-89/1/16/M, BHAVANI NAGAR, KODAD, NALGONDA, తెలంగాణ"
S1-269007167,S3-963820336,India,numeric_address_formatting,Al Construction,Al Center,"201, Gauri Apartments, Meera Bai Road, Lucknow, Uttar Pradesh","01, Lucknow, UP"
S1-304179821,S3-812713826,US,missing_address,Keystone Certified Hall L.L.C.,Keystone Certified Hall LLC,"14300 Bell Road, Unit 161, Surprise, AZ",
S1-320478432,S3-417110832,US,numeric_address_formatting,Optimal Biomedical Group Inc,Inc Optimal Boemical Group,"7 Oakwood Drive, Elk Grove Village, IL","9 Oakwood Dr, ELK Grove Villae CDP, Illinois"
S1-11711515,S2-863359729,US,other,Annabal Goodman Intercontinental LLC,#ANNABALGOODMAN,"1610 Aniston Road, Centerton, AR","1609 ANISTON RD, CENTERTON, AR"
S1-247885633,S2-734964325,US,numeric_address_formatting,"Odelinda H. Rogers, Esq., DDS PC","Odelinda H. Rogers, Esq., [DDS]","129 Elmore Avenue, Springfield, MA","MA, 129D ELMORE AVENUE, SPRNGFIELD"
S1-200376946,S3-935164740,India,numeric_address_formatting,Delta Hospitality Private Limited,Delta Hopiality Private Limited,"Mgrm House, Plot No.19, Huda Institutional Area, Sector-32, Gurugram, Gurugram, Gurgaon, Haryana","Mgrm House, Gurugram, NULL, HR"
S1-101198918,S3-134800844,India,address_only_linkage,PNW Farmers Private Limited,fpprivate.com,"Sco No. 67, Phase 3B2 Sas Nagar, Mohali, Punjab","Sco No. 67, Mohali, Sahibzada Ajit Singh Nagar, PB"
S1-217794291,S2-676017595,India,address_only_linkage,City Constructions Pvt Ltd,सिटी कंस्ट्रक्शंस प्रा. लि.,"R2/185 Grd Floor, Sector 2 Raj Nagar, Ghaziabad, Uttar Pradesh","GHAZIABAD, Uttar Pradesh, PLOT 681 R2/185 GRD FLOOR"
S1-285794850,S3-477873793,India,abbreviation,Tech Brahmaputra Hospitality Pvt. Ltd.,Tech Brahrmaputra Hospitality Pvt. Ltd.,"G1, Manidhari Bhawan Mushraf Ka Chowk, Johari Bazar, Jaipur, Rajasthan","G1, Jaipur, RJ"
S1-159173540,S3-122293169,US,transliteration,Empire Bakery LLC,empirebakery.com,"80 Timber Circle, Manchester, TN","Timber Cir, null, Manchester, Tennessee"
S1-221160806,S3-118704802,US,address_only_linkage,United Polska P.C.,unitedpolska.com,"505 Warbonnet Way, Pigeon Forge, TN","00505 Warbonnet Way, Pigeon Forge, Tennessee"
S1-309406332,S2-15273884,India,other,Daisy Manufactures Corporation,CENTER DAISY CORPORATION,"C6, 2Nd Floor, Spp Ranga Castle, Kannapiran Mill Road, Udayampalayam, Coimbatore, Tamil Nadu","C6, 2ND FLOOR, SPP RANGA CASTLE, KANNAPIRAN MILL ROAD, UDAYAMPALAYAM, COIMBATORE, Tamil Nadu"
S1-160338798,S2-493754087,India,other,Akbarpur Life Ltd,Akbarpur-Lfie Ltd,"C/O Sarojni Mirzapur Kodra, Akbarpur, Ambedkar Nagar, Uttar Pradesh","Uttar Pradesh, C/O SAROJNI MIRZAPUR KODRA, AKBARPUR, NULL"
S1-297682143,S3-553748449,US,address_only_linkage,3043 Market St Owners Corp Inc,Irinovi,"324 Laramie Avenue, Chicago, IL","324 Laramie Ave, Chicago, Illinois"
S1-180500331,S2-473028747,US,severe_name_variation,O & G Armour,O &,"3225 Saxony Road, Springfield, IL","SPRINGFIEELD, IL, 3225 SAXONY RD"
S1-13596834,S3-305096738,India,other,Balaji Bombay Foods Private Limited,Balaji Bmnay Foods Private Limited,"C/O Nirbhay Singh Balram, Gram Gumtra Khamra, Bichhua, Chhindwara, Madhya Pradesh","C/o Nirbhay Singh Balram, Gram Gumtra Khamra, Bichhua, Chhindwara, MP"
S1-13141531,S2-851329728,US,numeric_address_formatting,Urgent Care Pioneer Health L.L.C.,Urgent Care Poneer Health LLC,"4053 Farmer Way, North Highlands, CA","405 FARMER WAY, NORTH HIGHLANDS, CA"
S1-218128825,S3-3821173,US,address_only_linkage,Animal Welfare Ministries,animalwelfareministries.com,"202 Main Street, Southbridge, MA","202 Main Street, Southbridge, Massachusetts"
S1-107807486,S2-866543138,India,missing_address,Odi Equipment Private Limited,Odi Private Limited Services,"Mumbai, Maharashtra, Mumbai, 101 Tardeo Air Conditionedmarket Tardeo Road",
S1-21317041,S2-897671441,US,numeric_address_formatting,"O 8 Fresh Applied, Inc.","... O 8 Fresh Applled, Inc.","12 Seminole Pass, Sand Springs, OK","OK, SAND SPRINGS, 12C Seminole Pass"
S1-174383535,S2-314017180,India,address_only_linkage,Universal Products Private Limited,यूनिवर्सल प्रोडक्ट्स प्राइवेट लिमिटेड,"Flat No. 122, Pocket 13, Sector-21, Rohini, Delhi, North West Delhi, Delhi","FLAT NO. 122, NORTH WEST DELHI, Delhi"
S1-248733442,S2-820584310,India,address_only_linkage,Best Super Properties Private Limited,बेस्ट सुपर प्रॉपर्टीज प्राइवेट लिमिटेड,"Uttar Pradesh, H No-579, Brahmampura, Ss/A12, Bareilly","SS/A12, H NO-579, BRAHMAMPURA, BAREILLY, Uttar Pradesh"
S1-237702882,S2-915345166,India,severe_name_variation,Al Builders Private Limited,अल बिल्डर्स प्राइवेट लिमिटेड,"C/O Banmali Gupta, Near, Police Station, Tikamgarh, Madhya Pradesh","C/O BANMALI GUPTA, TIKAMGARH, NIWARI, Madhya Pradesh"
S1-305141224,S3-415428686,US,severe_name_variation,"Roark, Mena and Hughey Atlanta Group",@roarkmena - 5492089361,"334 Paradise Lane, Sturbridge, MA","34 Paradise Ln, Sturbridge, Massachusetts"
S1-10071224,S2-771337934,US,numeric_address_formatting,Direct Clear Blueport,DIRECT CLÉAR BLUEPORT,"2924 Market Street, Unit 6, Hannibal, MO","292 MARKET ST, HANNIBAL, MO"
S1-184854306,S2-91270916,US,numeric_address_formatting,Major Adr LLC,Major LLC Center,"3007 Walter Street, Unit B, Charlotte, NC","NC, CHARLOTTE, 3007B WALTER ST"
S1-197142017,S3-405477412,India,address_only_linkage,Dream Business Private Limited,డ్రీమ్ బిజినెస్ ప్రైవేట్ లిమిటెడ్,"H No.176/1-5-164, First Floor, Pension Line Ferozguda, Secunderabad, Hyderabad, Telangana","H No.176/1-5-164, Secunderabad, Hyderabad, TG"
S1-297222153,S3-455346835,US,missing_address,"Franco, Hurst & Nguyen LLC","Franco, Hurst &","2420 17th Street, Wilmington, NC",
S1-279161661,S2-137875315,India,address_only_linkage,Sky Logistics Private Limited,স্কাই লজিস্টিকস প্রাইভেট লিমিটেড,"23A Netaji Subhas Rd 10Th Flr No 32, Kolkata, Calcutta, West Bengal","23A NETAJI SUBHAS RD 10TH FLR NO 32, CALCUTTA, R.N. MUKHERJEE ROAD, West Bengal"
S1-190928298,S2-553393089,US,missing_address,Behavioral Health Harbor Care,Behavioral Health Hgánrro Care,"12009 Vanbeveren Drive, Alsip, IL",
S1-183056069,S2-228704941,India,severe_name_variation,Gujarat Global Private Limited,गुजरात ग्लोबल प्राइवेट लिमिटेड,"Uttar Pradesh, Bareilly, Shahjahanpur Roadshyamganj Bareilly, Uttar Pradesh","H.NO 219/2 SHAHJAHANPUR ROADSHYAMGANJ BAREILLY, BAREILLY, UTTAR PRADESH"
S1-23167771,S3-264056799,US,numeric_address_formatting,Eastman Alibaba LLC,Eastman [A1ibaba],"W9767 High Street, Town Of Dale, WI","W9767 High Street, PMB 7312, DALE, Wisconsin"
S1-109499073,S2-839826150,India,address_only_linkage,Fortune Developers Private Limited,ಫಾರ್ಚೂನ್ ಡೆವಲಪರ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"26/2, Naganayakanakote, Anugondanahalli Hobli, Hosakote, Bangalore Rural, Karnataka","26/2, NAGANAYAKANAKOTE, ANUGONDANAHALLI HOBLI, HOSKOTE, Karnataka"
S1-149910818,S2-644776867,US,numeric_address_formatting,Advanced Coffee PC,Advanced PC Coffee,"74 E Cartwright Road, NY, Shelter Island","CARTWRIGHT RD, SHELTER ISLAND, NY"
S1-102953666,S2-696481790,India,address_only_linkage,Noori Law Chambers,noorilawchambers.com,"2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal","H.NO /2 R.N.TAGORE ROAD, DAKSHINESWAR, NORTH 24 PARAGANAS, West Bengal"
S1-303179754,S2-605567451,India,address_only_linkage,Sun Exports Private Limited,ಸನ್ ಎಕ್ಸ್‌ಪೋರ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No. 260, 4Th Cross, 5Th Block Banashankari 3Rd Stage, Bangalore, Karnataka","BANGALORE, #260, Karnataka"
S1-228735402,S2-990466357,India,severe_name_variation,Aditya Systems Private Limited,आदित्य सिस्टम्स प्राइवेट लिमिटेड,"At Po Posewadital Khanapur Dist Sangli Posewadi, Sangli, Maharashtra","AT PO POSEWADITAL KHANAPUR DIST SANGLI POSEWADI, SANGLI, Maharashtra"
S1-318584933,S2-177407778,US,address_only_linkage,Strategic Marketing,Ariairi,"620 Central Chapel Road, Caroline, NY","620. CENTRAL CHAPEL RD, CAROLINE, NY"
S1-233988296,S2-177198944,US,numeric_address_formatting,Little Bike Shop,Little Schop Bike,"1005 Buttercup Court, Leander, TX","100 BUTTERCUP CT, N/A, LEANDER, TX"
S1-277260480,S2-282775549,US,address_only_linkage,Dutton Newbridge,DUTTONNEWBRIDGE.COM,"4400 Everett Road, Richfield, OH","4400-4404 EVERETT RD, BATH TWP, OH"
S1-256376933,S2-388284751,US,address_only_linkage,Pinnacle Digital Innovations LLC,Wexaria,"23527 E Gate Drive, Frankford, DE","23527 EAST GATE DR, FRANKFORD, DE"
S1-117428411,S2-960760899,India,address_only_linkage,Baba Marketing Limited,बाबा मार्केटिंग लिमिटेड,"Flat No.607/08/09, A-Wing, Samarth Aangan Ii, Indra Darshan, Sector Iii, Oshiwara, Andheri (, W), Mumbai, Bandra Suburban, Maharashtra","FLAT NO.607/08/09, A-WING, SAMARTH AANGAN II, INDRA DARSHAN, SECTOR III, OSHIWARA, ANDHERI (, W), MUMBAI, BANDRA SUBURBAN, Maharashtra"
S1-325481433,S3-388264235,US,abbreviation,"Brc, L.L.C.","8rc, L.L.C.","36 Fayette Avenue, Unit 3, Salt Lake City, UT","36 1/2 Fayette Ave, Unit 3, Salt Lake City, Utah"
S1-266675848,S2-100166222,India,address_only_linkage,My Construction Private Limited,माय कंस्ट्रक्शन प्राइवेट लिमिटेड,"Shop No. 122 Cp -1/B, 1St Floor, Sg Benefit, Ghaziabad, Uttar Pradesh","SHOP NO. 1-22 CP -1/B, GHAZIABAD, Uttar Pradesh"
S1-249489060,S3-573017900,India,severe_name_variation,Creative Investments Private Limited,ಕ್ರಿಯೇಟಿವ್ ಇನ್ವೆಸ್ಟ್‌ಮೆಂಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"387, Mudnur'S Nest, 8Th Main Road M S Ramaiah City, J P Nagar 8Th Phase, Bangalore, Karnataka","38, Bangalore, KA"
S1-250300722,S2-481508703,India,address_only_linkage,Blue International,ब्लू इंटरनेशनल,"H. No. 350 A, Main Road Gali No.1 Hadi Nagar Dhorra Mafi, Aligarh, Uttar Pradesh","H.NO 350 A, ALIGARH, Uttar Pradesh"
S1-130829860,S3-564043785,US,numeric_address_formatting,Primary Care Center Inc,Primary Cee Center  Inc,"21 Brush Creek Road, Plainview, AR","Brush Creek Road, Plainview, Arkansas"
S1-283138346,S3-753921559,US,address_only_linkage,Synresoft LLC,Synessflt LLC #95459,"105 Montgomery Avenue, Unit Unit 1053, Montgomery Township, PA","105 Montgomery Ave, # Unit 1053, Montgomery Township, Pennsylvania"
S1-24754062,S3-219092710,India,address_only_linkage,Pioneer Great Global Private Limited,पायोनियर ग्रेट ग्लोबल प्राइवेट लिमिटेड,"Kh No. 249/1 G/F, Pole No 429, New Delhi, South West Delhi, Delhi","Kh No. 249/1 G/f, Pole No 429, New Delhi, South West Delhi, DL"
S1-203107926,S3-989943078,US,address_only_linkage,"Ho, Jordan & Forbes Indigo P.C.",hojordanforbes.com,"122 11th Avenue, Watford City, ND","122 11nd Ave, Watford City, North Dakota"
S1-172009065,S3-280360030,US,address_only_linkage,Arts Initiative LLC,artsinitiative.com,"2 Liberty Drive, South Barrington, IL","Illinois, Barrington, 2 Liberty Dr"
S1-187770256,S2-605575544,India,address_only_linkage,Ican Technologies LLP,icantechnologies.com,"130, Kerala, Kottayam, Purayidathil House, Parolickal Athirampuzha P.O, Kottayam","962 130, PURAYIDATHIL HOUTE, PAROLICKAL ATHIRAMPUZHA P.O, KOTTAYAM, Kerala"
S1-301246416,S3-704523446,US,missing_address,Pru Choi Silver Co,Pru  Choi,"355 Ottawa Avenue, Hutchinson, MN",
S1-242067945,S3-472005299,US,address_only_linkage,Beth Chapel,Dovafluxvera,"2201 39, Unit Apartment 20, Southampton, NY","2201 39, Unit Apartment 20, Southampton, NY"
S1-191641559,S3-169214883,India,address_only_linkage,My Estate Private Limited,ಮೈ ಎಸ್ಟೇಟ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No. 1 (182), 5Th Cross, Rahmatnagar, R T Nagar Post, Bangalore, Karnataka","No. 1 (182), Bangalore, KA"
S1-261666380,S2-75993511,US,missing_address,Favava Golden Physical Therapy LLC,Favava Golden-Physical #86112,"1915 Macarthur Road, Unit LOT 26, Wichita, KS",
S1-100698162,S2-503978251,India,address_only_linkage,Shivam High Technology Private Limited,शिवम हाई टेक्नोलॉजी प्राइवेट लिमिटेड,"27/4 Divya Darshan Commercial Complex Dahanukar Colony Kothrud, Pune, Maharashtra","27/4 DIVYA DARSHAN COMMERCIAL COMPLEX DAHANUKAR COLONY KOTHRUD, PUNE, Maharashtra"
S1-290447970,S3-240867341,India,address_only_linkage,Eastern Tech Private Limited,ഈസ്റ്റേൺ ടെക് പ്രൈവറ്റ് ലിമിറ്റഡ്,"Tc 4/2071 Radha Nivas, Pullukad, Karimanal P.O, Thiruvananthapuram, Trivandrum, Kerala","Tc /2071 Radha Nivas, Trivandrum, Thiruvananthapuram, KL"
S1-220767290,S2-778065184,US,missing_address,Eye Direct Specialists LLC,Eye Eye Direct Specialists LLC,"NC, 8000 Bradenton Drive, Charlotte",
S1-165397740,S2-864916924,India,address_only_linkage,Hitech Ventures Private Limited,हाईटेक वेंचर्स प्राइवेट लिमिटेड,"No.2, Ashish, Shreenagar, Thane, Maharashtra","NO.2, THANE WAGLE ESTATE, महाराष्ट्र"
S1-151029840,S3-929610891,India,other,Mega & Brothers Pvt Ltd,Ltd Mega Brothers Pvt Service,"C/O - Susant Kumar Samal Jobra Malha Sahi, Collage Square, Cuttack, Cuttack, Orissa","C/o - Susant Kumar Samal Jobra Malha Sahi, Collage Square, Cuttack, Cuttack, OD"
S1-23415640,S3-903854220,India,address_only_linkage,Krishna Food Private Limited,krishnafood.com,"New Delhi, 113, 3Rd Floor, Aggarwal Chamber-I Veer Sawarkar Block, Shakarpur, Delhi, Office No. 83","Office No. 83, 113, 3Rd Floor, Aggarwal Chamber-i Veer Sawarkar Block, Shakarpur, Delhi, New Delhi, DL"
S1-124920867,S2-775956319,US,address_only_linkage,Credle's Yoga LLC,credlesyoga.com,"1468 Brookmead Court, Rocky Mount, NC","1468  BROOKMEAD COURT, ROCKY MOUNT, NC"
S1-225917768,S3-740384927,India,address_only_linkage,Balaji (India) Information Ltd,Onyxsynyuma,"Fp-127 Near Ait College, Chandlodiya, Daskroi, Ahmedabad, Gujarat","Fp-127 Near Ait College, Chandlodiya, Daskroi, Ahmedabad, Gujarat"
S1-302577127,S3-909817420,India,address_only_linkage,Fortune Healthcare Pvt Ltd,ಫಾರ್ಚೂನ್ ಹೆಲ್ತ್‌ಕೇರ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No.68/1, Industrialsuburb, Yeshwantpur, Bangalore, Karnataka","No.68/1, Industrialsuburb, Yeshwantpur, Bangalore, ಕರ್ನಾಟಕ"
S1-305431850,S2-638320778,US,address_only_linkage,"Lelodyne, Inc","Lgod, Inc","2335 Workman Avenue, Simi Valley, CA","2335  WORKMAN AVENUE, SIMI VALLEY, CA"
S1-109584953,S2-242401275,India,address_only_linkage,Lakshmi Properties Pvt Ltd,लक्ष्मी प्रॉपर्टीज प्रा. लि.,"Csno 4362, Near Mutton Market Mai Mohalla Junnar, Junnar (Mci), Pune, Maharashtra","CSNO 4362., NEAR MUTTON MARKET MAI MOHALLA JUNNAR, JUNNAR (MCI), PUNE, महाराष्ट्र"
S1-205040025,S2-200922224,US,abbreviation,H 9 Complete States,H 9,"280 North Road, Pascoag, RI","280 NORTH ROAD, PASCOAG, RI"
S1-248211788,S2-314750266,India,address_only_linkage,Great Business Private Limited,గ్రేట్ బిజినెస్ ప్రైవేట్ లిమిటెడ్,"Sy No. 128/P, Flat No. 408, Varuna Block, Sri Vensai Projects, Kompally, Hyderabad, Rangareddy, Telangana","SY NO. 128/P, HYDERABAD, RANGAREDDY, Andhra Pradesh"
S1-243412726,S2-746215972,US,address_only_linkage,Valley Imperii LLC,valleyimperii.com,"611 Main Street, Norwich, CT","611 MAIN ST, NORWICH, CT"
S1-265740812,S3-5509609,US,transliteration,Hynda Deyoung Siddhi LLC,hyndadeyoungsiddhi.com,"331 Alphin Avenue, Waynesboro City, VA","Alphin Ave, Waynesboro City, Virginia"
S1-230387411,S2-120602727,India,address_only_linkage,Indo Unique Consultancy Private Limited,इंडो यूनिक कंसल्टेंसी प्राइवेट लिमिटेड,"In Front Of K-112 & Oxford Academy School Jogipur, Patna, Hanuman Nagar Po-Lohiya Nagar, Kankarbagh, Bihar","PLOT ##895 IN FRONT OF K-112 & OXFORD ACADEMY SCHOOL JOGIPUR, HANUMAN NAGAR PO-LOHIYA NAGAR, KANKARBAGH, PATNA, बिहार"
S1-183735179,S2-870831522,US,numeric_address_formatting,Surgical Medicine,Surgical Medicine Association,"316 J Street, CA, Oxnard","31 J ST, CITY OF OXNARD, CA"
S1-261056326,S3-224086655,US,other,Womens Health Trusted Care LLC,womenshealthtrusted.com,"2630 Prairie Avenue, Unit 207, South Bend, IN","Prairie Avenue, <NULL>, South Bend, Indiana"
S1-15525107,S3-539171386,India,address_only_linkage,North Producer Private Limited,नॉर्थ प्रोड्यूसर प्राइवेट लिमिटेड,"B-1/002, Ground Floor, Sukur Park Society, Kalwa, Thane, Thane, Maharashtra","H.no 843 B-1/002, Thane, MH"
S1-274429230,S2-889224637,India,abbreviation,New Marketing Private Limited,newmarketing.com,"Mumbai, Now Ashar Titan Village Ghatkopar Kirol, Vb Lane Ghatkopar East Opp Odeon Shopping Centre, 1006 Mahavir Jyot, Maharashtra, Mumbai","006 MAHAVIR JYOT, NOW ASHAR TITAN VILLAGE GHATKOPAR KIROL, VB LANE GHATKOPAR EAST OPP ODEON SHOPPING CENTRE, MUMBAI, Maharashtra"
S1-220034289,S3-643050569,US,missing_address,Ziix Capital Inc,Ziix-Capital (ID: 35622),"3323 Gracefield Road, Maryville, TN",
S1-209556353,S2-272694864,India,address_only_linkage,Informatics Medical Centre,WEXMIRA,"Ground Floor, No.2 Airport Road, Domlur, Bangalore, Karnataka","ಕರ್ನಾಟಕ, NO.2 AIRPORT ROAD, DOMLUR, BANGALORE, GROUND FLOOR, BANGALORE"
S1-275257496,S3-376617803,US,transliteration,Department of Veterans Affairs,departmentveteransaffairs.com,"16 Willow Lane, Wiscasset, ME","Willow Lane, Wiscasset, Maine"
S1-312124889,S2-798531139,India,address_only_linkage,Perfect Foundation LLP,परफेक्ट फाउंडेशन एलएलपी,"207, Ashish Udyog Bhavan, Ramchandra Lane Extn, Malad West, Mumbai, Maharashtra","207, ASHISH UDYOG BHAVAN, RAMCHANDRA LANE EXTN, MALAD WEST, MUMBAI, Maharashtra"
S1-315703564,S3-253935657,US,severe_name_variation,Short & Farrell Group,Lyradrex,"2426 Courtyard Circle, Unit #5, Aurora, IL","02635 Courtyard Cir, Aurora, PMB 1267, Illinois"
S1-266362903,S2-453506542,India,address_only_linkage,Krishna Marketing Limited,কৃষ্ণ মার্কেটিং লিমিটেড,"Jagatdal, 24-Parganas (N), Kolkata, Howrah, West Bengal","24-PARGANAS (N), JAGATDAL, West Bengal, HOWRAH, KOLKATA"
S1-1731757,S3-4086286,US,severe_name_variation,WM Australia Inc,Services WM Inc,"608 Bucknell Drive, Oyster Bay, NY","608 Bucknfll Dr, East Massapequa, New York"
S1-254530587,S2-168217835,India,address_only_linkage,Eastern Industries Limited,ईस्टर्न इंडस्ट्रीज लिमिटेड,"544 Adenwala Road 4/16Shivji Krupa Matunga [Cr], Mumbai, Maharashtra","7-544 ADENWALA ROAD 4/16SHIVJI KRUPA MATUNGA [CR], MUMBAI, Maharashtra"
S1-196171260,S2-359827890,US,address_only_linkage,American Delta Coca Inc,@americandelta,"16434 Bermuda Field Street, Hockley, TX","16434 BERMUDA FIELD STRETE, HOCKLEY, TX"
S1-190390092,S2-746332067,India,address_only_linkage,RR Tm Private Limited,privaterrtm.com,"Chennai, Tamil Nadu, No.142/25.100.Ft.Road Loganathanagar 2Nd Street Choolaimedu, Chennai","NO.142/25.100.FT.ROAD LOGANATHANAGAR 2ND STREET CHOOLAIMEDU, CHENNAI, Tamil Nadu"
S1-239066177,S3-887596825,India,address_only_linkage,Red Om Consulting Pvt Ltd,ರೆಡ್ ಓಂ ಕನ್ಸಲ್ಟಿಂಗ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Pavillion 175 And 176, Dollars Colony, Phase 4, Jp Nagar, Bannerghatta Main Rd, Bengaluru, Bangalore, Karnataka","Pavillion 175 And 176, Dollars Colony, Phase 4, Jp Nagar, Bannerghatta Main Rd, Bangalore, KA"
S1-109375972,S3-467611035,US,address_only_linkage,Carmody Quality LLC,Carm0dy Qutay  LLC,"1010 Adams Street, Phoenix, AZ","1010 Adams St, Phoenix, Arizona"
S1-203981322,S2-972704365,US,other,Ashford North Cove Human Rights Green Alliance,ashfordnorthcove.com,"Ashford North Cove, 195 Lou Moody Memorial Drive, NC","196 LOU MOODY MEMORIAL DR, ASHFORD NORTH COVE, NC"
S1-316728557,S2-66823520,US,abbreviation,E+ Machines,E+ Mgacimnes,"1015 Hartsdale Drive, Dallas, TX","1015 HARTSDALE DR, <NULL>, DALLAS, TX"
